ANO,MES,EMPRESA,ORIGEM,DESTINO
2020,4,AZU,SBAU,SBRJ
2020,4,AZU,SBAU,SBSL
2020,4,AZU,SBAU,SBSV
2020,4,AZU,SBAU,SBTE
2020,4,AZU,SBAU,SBVT
2020,4,AZU,SBAU,SBVT
2020,4,AZU,SBBE,SBAE
2020,4,AZU,SBBE,SBAR
2020,4,AZU,SBBE,SBAR
2020,4,AZU,SBBE,SBAR
2020,4,AZU,SBBE,SBAR
2020,4,AZU,SBBE,SBAR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBR
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBBV
2020,4,AZU,SBBE,SBCA
2020,4,AZU,SBBE,SBCA
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCF
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCG
2020,4,AZU,SBBE,SBCH
2020,4,AZU,SBBE,SBCH
2020,4,AZU,SBBE,SBCH
2020,4,AZU,SBBE,SBCH
2020,4,AZU,SBBE,SBCJ
2020,4,AZU,SBBE,SBCJ
2020,4,AZU,SBBE,SBCJ
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
2020,4,AZU,SBBE,SBCT
